,Plastic,response,SE,df,lower.CL,upper.CL,.group,resp,timepoint
463,LDPE,333.9988333,7.273052879,30,319.1452778,348.8523889,A,MBC,193
164,PBS,333.3739433,7.273052879,30,318.5203878,348.2274989,A,MBC,193
263,PLA,288.8155733,7.273052879,30,273.9620178,303.6691289,B,MBC,193
535,PLA/PHA,317.8433333,7.273052879,30,302.9897778,332.6968889,AB,MBC,193
364,NONE,61.89264575,1.091159287,30,59.68425998,64.1411491,C,DOC,5
264,LDPE,62.7141403,1.098376838,30,60.49101433,64.97738385,BC,DOC,5
165,PBS,67.24898761,1.137395497,30,64.9461749,69.59191789,AB,DOC,5
536,PLA,57.46803794,1.05143351,30,55.34078303,59.63541043,D,DOC,5
464,PLA/PHA,71.25208459,1.170758762,30,68.881135,73.66315175,A,DOC,5
166,NONE,57.0356678,1.679549484,30,53.65714125,60.51733656,AB,DOC,15
365,LDPE,52.52851899,1.611822139,30,49.28831014,55.87187005,B,DOC,15
265,PBS,59.78172514,1.719506256,30,56.32159598,63.34499651,A,DOC,15
537,PLA,54.03329707,1.63474596,30,50.74627153,57.42346482,AB,DOC,15
465,PLA/PHA,57.7469469,1.68998968,30,54.34709864,61.24993738,AB,DOC,15
466,NONE,73.36876172,1.282216603,30,70.75012607,75.98739737,BC,DOC,30
538,LDPE,70.41375785,1.282216603,30,67.7951222,73.0323935,C,DOC,30
