"","X","Jar.No","Sample.ID","Plastic","Nitrogen","Treatment","Time1","Time","Plastic.code","DOC","MBC","Nitrate","Ammonium","pH","BG","CB","LAP","XYL","TN","SOC","X13C","day","cacq","Rep","original_c","c_added","SOC_std"
"34",34,34,"HAN1T1","PLA/PHA","N1","PLA/PHA-N1","T1","5D","HA",78.3042191296664,384.068011471976,35.6230809103917,2.20256186317639,6.23,60.8252501892961,27.1744959462486,118.76715176998,14.8956211238348,0.118,1.949,-20.3316048851887,5,102.89536725938,"3",NA,9.43873333333334,2.06489571340787
"35",35,35,"PLN1T1","PLA","N1","PLA-N1","T1","5D","PL",53.0647774728298,62.4730663581389,60.4848539040354,14.4751675756378,5.49,110.972284233732,45.9555345749103,26.1744635722855,20.8024065644442,0.119,2.027,-17.5267433426114,5,177.730225373087,"3",NA,10.0086,2.02525827788102
"36",36,36,"CON1T1","NONE","N1","NONE-N1","T1","5D","CO",63.1728639264157,118.437464586224,63.4646917330425,16.9789439466101,5.49,106.079596512093,46.3653277424924,29.4650628766039,21.3605241288677,0.112,1.101,-26.1942916736784,5,173.805448383453,"4",NA,0,NA
"37",37,37,"LDN1T1","LDPE","N1","LDPE-N1","T1","5D","LD",63.8519086633088,112.586830664122,60.1905424447519,17.3747071155846,5.48,104.664733938074,46.1459453855603,29.3256807711099,20.5802902448877,0.096,2.565,-30.9095351038409,5,171.390969568522,"4",NA,17.2274,1.48890720596259
"38",38,38,"BSN1T1","PBS","N1","PBS-N1","T1","5D","BS",65.4088326414903,104.859959186618,58.1300360571058,14.1169264816424,5.49,105.858746952679,47.0588416752494,28.3373341647509,19.7917447756166,0.117,2.072,-22.3310299963478,5,172.709333403545,"4",NA,11.1866666666667,1.85220500595948
"39",39,39,"HAN1T1","PLA/PHA","N1","PLA/PHA-N1","T1","5D","HA",76.2316609606806,332.033432351683,34.1411768636373,4.48145703620638,6.11,66.4392998954597,28.3695473207685,110.802684315807,14.5323221840314,0.12,1.93,-20.1707199698677,5,109.34116940026,"4",NA,9.43873333333334,2.04476589372868
"40",40,40,"PLN1T1","PLA","N1","PLA-N1","T1","5D","PL",46.7150522431195,131.792606351428,62.6065162195172,17.7437609712768,5.55,109.396982965718,46.0046556458348,29.7192766569343,21.5566876312443,0.117,1.916,-20.0331077152536,5,176.958326242797,"4",NA,10.0086,1.91435365585596
"41",41,41,"CON0T2","NONE","N0","NONE-N0","T2","15D","CO",59.4324789401325,66.1283916263974,17.0298856313857,0.933742352988009,5.85,109.424784578027,47.588454763403,32.7778909305349,22.6693367784054,0.107,1.108,-26.3015482838924,15,179.682576119835,"1",NA,0,NA
"42",42,42,"LDN0T2","LDPE","N0","LDPE-N0","T2","15D","LD",51.1261436059572,80.2313593952433,13.0821078218876,1.26726662836276,6.14,118.588160966206,49.1628008655587,32.5912870449447,21.1040525569829,0.116,2.781,-30.9611396993212,15,188.855014388748,"1",NA,17.2274,1.61428886541208
"43",43,43,"BSN0T2","PBS","N0","PBS-N0","T2","15D","BS",61.4223571579169,83.5395106994571,8.16814650915567,0.323948873655108,6.3,116.562766620083,50.4748564957108,37.4436141286101,22.8499470849068,0.109,2.08,-22.790412081604,15,189.887570200701,"1",NA,11.1866666666667,1.85935637663886
"44",44,44,"HAN0T2","PLA/PHA","N0","PLA/PHA-N0","T2","15D","HA",54.4965918784017,194.367084729496,0.0015,0.240618454242711,6.98,61.5467173254788,25.2695213098686,125.099843869543,14.556170656748,0.108,1.743,-20.4692171398029,15,101.372409292095,"1",NA,9.43873333333334,1.84664608951766
