"Plastic","Nitrogen","Tube","Date","CO2Flux","CO2Flux_plastic","Day","daily_CO2","daily_CO2_plastic"
"PLA/PHA","N1",144,"07/06/2023",0.32970010514182,0.201626906357845,"123",7.91280252340367,4.83904575258827
"PLA/PHA","N1",149,"07/06/2023",0.317620454425418,0.188226290075242,"123",7.62289090621002,4.5174309618058
"PLA/PHA","N1",154,"07/06/2023",0.331250151816034,0.194085562717187,"123",7.95000364358481,4.6580535052125
"PLA/PHA","N1",159,"07/06/2023",0.306319963246665,0.187321144427584,"123",7.35167911791996,4.49570746626202
"PLA","N1",145,"07/06/2023",0.118418226864238,0.00314519972189989,"123",2.84203744474171,0.0754847933255974
"PLA","N1",150,"07/06/2023",0.112865961064533,0.00507302405234244,"123",2.7087830655488,0.121752577256219
"PLA","N1",155,"07/06/2023",0.113644136065973,0.00703389374643289,"123",2.72745926558336,0.168813449914389
"PLA","N1",160,"07/06/2023",0.11478670886823,0.00509873144278674,"123",2.75488101283751,0.122369554626882
"NONE","N0",121,"07/20/2023",0.116363456220783,0,"138",2.7927229492988,0
"NONE","N0",126,"07/20/2023",0.0640031239120343,0,"138",1.53607497388882,0
"NONE","N0",131,"07/20/2023",0.152407293615001,0,"138",3.65777504676002,0
"NONE","N0",136,"07/20/2023",0.161450666583464,0,"138",3.87481599800314,0
"LDPE","N0",122,"07/20/2023",0.142881518940484,0.012958083314854,"138",3.42915645457162,0.310993999556495
"LDPE","N0",127,"07/20/2023",0.0714996942846319,0.0349272711129522,"138",1.71599266283117,0.838254506710853
"LDPE","N0",132,"07/20/2023",0.138109075025779,0.00945426121714325,"138",3.3146178006187,0.226902269211438
"LDPE","N0",137,"07/20/2023",0.141635586573126,0.00813531347092924,"138",3.39925407775502,0.195247523302302
"PBS","N0",123,"07/20/2023",0.125979321060597,0,"138",3.02350370545433,0
"PBS","N0",128,"07/20/2023",0.134834486147463,0.00264527464901367,"138",3.23602766753912,0.0634865915763281
"PBS","N0",133,"07/20/2023",0.143176129792123,0,"138",3.43622711501095,0
"PBS","N0",138,"07/20/2023",0.128720108128993,0.000379901107845405,"138",3.08928259509582,0.00911762658828973
"PLA/PHA","N0",124,"07/20/2023",0.338374474027349,0.172490036632455,"138",8.12098737665638,4.13976087917893
"PLA/PHA","N0",129,"07/20/2023",0.327358281307058,0.12830090850536,"138",7.85659875136938,3.07922180412864
"PLA/PHA","N0",134,"07/20/2023",0.323074375183774,0.169191275008396,"138",7.75378500441059,4.06059060020151
"PLA/PHA","N0",139,"07/20/2023",0.339890938534178,0.173764410919732,"138",8.15738252482027,4.17034586207357
"PLA","N0",125,"07/20/2023",0.143817728317183,0,"138",3.45162547961239,0
"PLA","N0",130,"07/20/2023",0.124341294344109,0,"138",2.98419106425861,0
"PLA","N0",135,"07/20/2023",0.141066051519563,0,"138",3.38558523646951,0
"PLA","N0",140,"07/20/2023",0.132186704001695,0,"138",3.17248089604068,0
"NONE","N1",141,"07/20/2023",0.114183273409456,0,"138",2.74039856182696,0
"NONE","N1",146,"07/20/2023",0.116593172842689,0,"138",2.79823614822454,0
"NONE","N1",151,"07/20/2023",0.119186232371439,0,"138",2.86046957691453,0
"NONE","N1",156,"07/20/2023",0.114545621227077,0,"138",2.74909490944985,0
"LDPE","N1",142,"07/20/2023",0.0914229819445647,0.0267706742081163,"138",2.19415156666955,0.642496180994791
"LDPE","N1",147,"07/20/2023",0.0936880801713198,0.0286043216571548,"138",2.24851392411167,0.686503719771716
"LDPE","N1",152,"07/20/2023",0.0889266487990784,0.0295113182489436,"138",2.13423957117788,0.708271637974646
"LDPE","N1",157,"07/20/2023",0.112130021379804,0.0299060691754366,"138",2.69112051311529,0.717745660210477
"PBS","N1",143,"07/20/2023",0.116165773022184,0,"138",2.78797855253241,0
"PBS","N1",148,"07/20/2023",0.110559309042332,0,"138",2.65342341701598,0
"PBS","N1",153,"07/20/2023",0.168849823340506,0,"138",4.05239576017213,0
"PBS","N1",158,"07/20/2023",0.182027760650023,0,"138",4.36866625560055,0
"PLA/PHA","N1",144,"07/20/2023",0.301332016699371,0.13244936406596,"138",7.2319684007849,3.17878473758304
"PLA/PHA","N1",149,"07/20/2023",0.308084395529996,0.132856598402057,"138",7.3940254927199,3.18855836164937
"PLA/PHA","N1",154,"07/20/2023",0.327452170470123,0.132029202095853,"138",7.85885209128296,3.16870085030048
"PLA/PHA","N1",159,"07/20/2023",0.300212641503114,0.133305400505356,"138",7.20510339607474,3.19932961212854
"PLA","N1",145,"07/20/2023",0.104197018704008,0,"138",2.50072844889618,0
"PLA","N1",150,"07/20/2023",0.100352571883772,0,"138",2.40846172521053,0
"PLA","N1",155,"07/20/2023",0.103919903425483,0,"138",2.49407768221159,0
"PLA","N1",160,"07/20/2023",0.10263617580535,0,"138",2.46326821932839,0
"NONE","N0",121,"08/04/2023",0.108206428616467,0,"152",2.59695428679522,0
"NONE","N0",126,"08/04/2023",0.114037618772651,0,"152",2.73690285054361,0
"NONE","N0",131,"08/04/2023",0.105443742543549,0,"152",2.53064982104517,0
"NONE","N0",136,"08/04/2023",0.132617295105212,0,"152",3.18281508252508,0
"LDPE","N0",122,"08/04/2023",0.125409942691621,0.0153307136325531,"152",3.0098386245989,0.367937127181275
"LDPE","N0",127,"08/04/2023",0.0715910485364186,0,"152",1.71818516487405,0
"LDPE","N0",132,"08/04/2023",0.124015852770776,0,"152",2.97638046649862,0
"LDPE","N0",137,"08/04/2023",0.11812837324309,0.00337637122311193,"152",2.83508095783417,0.0810329093546863
"PBS","N0",123,"08/04/2023",0.13395335024487,0.00178102250600644,"152",3.21488040587688,0.0427445401441546
"PBS","N0",128,"08/04/2023",0.12011772403982,0.00524704380226553,"152",2.88282537695568,0.125929051254373
"PBS","N0",133,"08/04/2023",0.128924457297494,0.00119268072598082,"152",3.09418697513986,0.0286243374235398
"PBS","N0",138,"08/04/2023",0.125638914334391,0.00466969093573925,"152",3.01533394402539,0.112072582457742
"PLA/PHA","N0",124,"08/04/2023",0.313163653211808,0.159091265764379,"152",7.51592767708339,3.8181903783451
"PLA/PHA","N0",129,"08/04/2023",0.286314997419105,0.160520531206427,"152",6.87155993805852,3.85249274895425
"PLA/PHA","N0",134,"08/04/2023",0.300745045951848,0.158284274677444,"152",7.21788110284436,3.79882259225865
"PLA/PHA","N0",139,"08/04/2023",0.295108375159784,0.15514495366847,"152",7.08260100383482,3.72347888804328
"PLA","N0",125,"08/04/2023",0.121920023393423,0.00309732981854908,"152",2.92608056144215,0.074335915645178
"PLA","N0",130,"08/04/2023",0.127502457424484,0.0010678735341972,"152",3.06005897818761,0.0256289648207328
"PLA","N0",135,"08/04/2023",0.140717401352766,0,"152",3.37721763246637,0
"PLA","N0",140,"08/04/2023",0.121743234981547,0.00130946263091482,"152",2.92183763955712,0.0314271031419556
"NONE","N1",141,"08/04/2023",0.11822687987216,0,"152",2.83744511693184,0
"NONE","N1",146,"08/04/2023",0.107262795093017,0,"152",2.5743070822324,0
"NONE","N1",151,"08/04/2023",0.110695667211769,0,"152",2.65669601308245,0
"NONE","N1",156,"08/04/2023",0.108306809829657,0,"152",2.59936343591176,0
"LDPE","N1",142,"08/04/2023",0.0936122206847125,0,"152",2.2466932964331,0
"LDPE","N1",147,"08/04/2023",0.10695610462452,0.00594005745539129,"152",2.56694651098849,0.142561378929391
"LDPE","N1",152,"08/04/2023",0.115159440270335,0.00654691686799236,"152",2.76382656648804,0.157126004831817
"LDPE","N1",157,"08/04/2023",0.112518325787035,0.00505428634561129,"152",2.70043981888885,0.121302872294671
